Publication Type,Title,Authors,Creation Date
Books & Book Chapters,CanmetMINING Mineral Processing Capabilities - Canadian Milling Practices 2020,"Rory Cameron, Janice Zinck",2021-02-19
Books & Book Chapters,Novel approaches for the extraction of actinides as a by-product in the mining industry.,Laurence Whitty Leveillé,2019-02-27
Books & Book Chapters,An Overview of New Developments in Shale Gas: Induced Seismicity Aspect,"Nadia Shafie Zadeh, Shahriar Tablebi",2018-03-21
Books & Book Chapters,GEOCHEMICAL properties OF Cu-Ni TAILINGS under three distinct revegetation practices ,Suzanne Beauchemin,2017-03-13
Books & Book Chapters,Observations on the Data from the Preparation of Certified Reference Materials and Proficiency Testing Program - Mineral Analysis Laboratories (PTP-MAL) at CCRMP,"Leaver, Maureen",2015-02-04
Consultant Report,TEA of REE Electrowinning,Kevin Watson (KPM),2021-02-16
Consultant Report,Maclean Engineering Diesel and Battery Electric Powered Cassette Report,"John Le, Ahmad Mohsenimanesh",2021-02-15
Consultant Report,"Material of Construction for RE Acid Baking Rotary Kiln, Off-gas System and other Auxiliary Equipment - a Review","Delin Li (CMAT), Kumar Sadayappan (CMAT), Li Yan (CMAT)",2021-01-18
Consultant Report,Review: Flue Gas Corrosion and Corrosion Testing of Exhaust Off-Gas System for Rare Earth Acid Baking Rotary Kiln,Xin Pang (CMAT) and Yimin Zeng (CMAT),2021-01-18
Consultant Report,Review: Resistance of Metallic Materials to Uniform Corrosion in Sulphuric Acid,Haiou Jin (CMAT),2021-01-18
Consultant Report,LCA of REE Processing,"Robert Pell (Minviro), Phoebe Whattoff (Minviro)",2021-01-08
Consultant Report,NRCan REE Ore Deposit Sortability Report on Ashram,"David Turner (MineSense), Hoda Bagheri (MineSense)",2021-01-07
Consultant Report,ON THE ELECTROWINNING OF DIDYMIUM ALLOY,"Daniel Calabretta, William Courchesne, and Boyd Davis (Kingston Process Metallurgy)",2020-11-20
Consultant Report,Experimental Determination of Separating Factors for REE Solvent Extraction ,"Baodong Zhao, Saskatchewan Research Council",2020-10-19
Consultant Report,"Neodymium, Preasodymium and Didymium metal production from ores – a literature review",Kingston Process Metallurgy (KPM),2020-04-20
Consultant Report,Experimental determination of solubility of REE sulphates in sulphuric acid media,Saskatchewan Research Council,2020-03-31
Consultant Report,Review of Climate Change Adaptation in the Mining Industry,SRK Consulting Canada,2020-03-31
Consultant Report,Literature Review on the Solubility of Rare Earth Sulphates,CERCL Ltd. (U of T),2020-01-08
Consultant Report,"Toxicity of REE to Chironomus dilutus, Neocloeon triangulifer and Sphaerium sp.",Nautilus,2019-12-19
Consultant Report,Application of Supercritical Fluid Extraction to Extract and Recover Rare Earth Elements,CERCL Ltd. (U of T),2019-12-11
Consultant Report,Toxicity of REE in sediment exposures to Hyalella azteca and Chironomus tentans,Nautilus,2019-12-11
Consultant Report,Literature review: Physical separation of REE bearing minerals,neoCtech,2019-09-30
Consultant Report,Comparison of REE Acid Baking in Rotary Kiln and Fluidized Bed Reactor,Kingston Process Metallurgy Inc.,2019-08-29
Consultant Report,Experimental Determination of Solubility of Rare Earth Sulphates: Follow-up Studies,CERCL Ltd. (U of T),2019-07-18
Consultant Report,Review of recent work on the recovery of REE from Secondary Sources,INRS - UQAT,2019-07-10
Consultant Report,2018-19 Report on SMC to ISO/TC298 Rare Earth,CSA Group,2019-06-26
